BJax,BKhaZix,BXerath,BTristana,BBraum,RMiss Fortune,RVolibear,RSyndra,RNasus,RSoraka,RTrue
BTwitch,BTrundle,BSejuani,BAhri,BThresh,RLeona,RTaliyah,RCaitlyn,RTryndamere,RWarwick,RTrue
BAshe,BSyndra,BTahm Kench,BKennen,BLee Sin,RJax,RNami,RLucian,RNocturne,RAnivia,RTrue
BTwitch,BCorki,BZac,BRenekton,BBraum,RTaliyah,RBrand,RTristana,RJax,RShaco,RTrue
BWarwick,BBlitzcrank,BDraven,BAhri,BJax,RMalzahar,RNocturne,RMorgana,RJinx,RTrundle,RFalse
BLissandra,BHecarim,BKalista,BKennen,BThresh,RJhin,RLux,RBlitzcrank,RDarius,RDr. Mundo,RFalse
BJhin,BCamille,BLux,BBlitzcrank,BKhaZix,RRiven,RTahm Kench,RTaliyah,RShen,RTristana,RFalse
BTwisted Fate,BOrianna,BXayah,BTryndamere,BYorick,RMaokai,RNasus,RMorgana,RFizz,REzreal,RFalse
BLee Sin,BAnnie,BJax,BThresh,BMiss Fortune,RAhri,RMorgana,RAshe,RNautilus,RTryndamere,RTrue
BNami,BMaster Yi,BCaitlyn,BYasuo,BVeigar,RWarwick,RTryndamere,RMalzahar,RLucian,RTahm Kench,RFalse
BTaliyah,BRekSai,BAshe,BKayle,BMorgana,RCaitlyn,RJanna,RTryndamere,RZiggs,RVi,RTrue
BLee Sin,BSyndra,BTryndamere,BVayne,BThresh,RTristana,RLulu,RWarwick,RBrand,RRenekton,RTrue
BLee Sin,BAlistar,BJayce,BKogMaw,BAhri,RSoraka,RTwitch,RViktor,RXin Zhao,RTryndamere,RFalse
BKhaZix,BLux,BLeona,BMiss Fortune,BGaren,RThresh,RAhri,RGragas,RXayah,RTryndamere,RTrue
BVarus,BLux,BWarwick,BTryndamere,BSoraka,RDiana,RTahm Kench,RXayah,RZed,RDarius,RFalse
BKindred,BTryndamere,BLucian,BVeigar,BLeona,RLux,RSoraka,RVi,RNasus,RJhin,RFalse
BKindred,BRiven,BLux,BVayne,BZed,RPantheon,RLeona,RJhin,RTryndamere,RElise,RFalse
BIllaoi,BKogMaw,BAmumu,BFizz,BTaric,RCaitlyn,REkko,RThresh,RHecarim,RTryndamere,RTrue
BIvern,BAlistar,BViktor,BTryndamere,BXayah,RTwitch,RThresh,RXerath,RZac,RJax,RTrue
BYasuo,BLee Sin,BSyndra,BTristana,BBraum,RTryndamere,RNidalee,RCaitlyn,RZyra,RXerath,RTrue
BSion,BSyndra,BRengar,BXin Zhao,BXayah,RTryndamere,RUdyr,RJinx,RAurelion Sol,RJanna,RTrue
BVarus,BLulu,BTryndamere,BAnnie,BRekSai,RKayle,RTahm Kench,RYasuo,RJax,RTwitch,RTrue
